circuito,rodada,data,quem
Sakhir,1,2024-03-02,ALB
Jeddah,2,2024-03-09,VER
Melbourne,3,2024-03-24,OCO
Suzuka,4,2024-04-07,RUS
Shanghai,5,2024-04-21,SAI
Miami,6,2024-05-05,HUL
Imola,7,2024-05-19,GAS
Monte Carlo,8,2024-05-26,RIC
Montreal,9,2024-06-09,BOT
Barcelona,10,2024-06-23,SAR
Spielberg,11,2024-06-30,ALO
Silverstone,12,2024-07-07,PER
Budapest,13,2024-07-21,TSU
Spa,14,2024-07-28,LEC
Zandvoort,15,2024-08-25,HAM
Monza,16,2024-09-01,MAG
Baku,17,2024-09-15,PIA
Marina Bay,18,2024-09-22,NOR
Austin,19,2024-10-20,COL
Mexico City,20,2024-10-27,LAW
São Paulo,21,2024-11-03,STR
Las Vegas,22,2024-11-23,ZHO
Lusail,23,2024-12-01,BOR
Abu Dhabi,24,2024-12-08,
