circuito,rodada,data,quem
Budapest,11,2021-08-01,
Spa,12,2021-08-29,
Zandvoort,13,2021-09-05,
Monza,14,2021-09-12,
Sochi,15,2021-09-26,
Istanbul,16,2021-10-10,
Austin,17,2021-10-24,
Mexico City,18,2021-11-07,
São Paulo,19,2021-11-14,
Lusail,20,2021-11-21,
Jeddah,21,2021-12-05,
Abu Dhabi,22,2021-12-12,
