circuito,rodada,data,quem
Sakhir,1,2023-03-05,
Jeddah,2,2023-03-19,
Melbourne,3,2023-04-02,
Baku,4,2023-04-30,
Miami,5,2023-05-07,
Monte Carlo,6,2023-05-28,
Barcelona,7,2023-06-04,
Montreal,8,2023-06-18,
Spielberg,9,2023-07-02,
Silverstone,10,2023-07-09,
Budapest,11,2023-07-23,
Spa,12,2023-07-30,
Zandvoort,13,2023-08-27,
Monza,14,2023-09-03,
Marina Bay,15,2023-09-17,
Suzuka,16,2023-09-24,
Lusail,17,2023-10-08,
Austin,18,2023-10-22,
Mexico City,19,2023-10-29,
São Paulo,20,2023-11-05,
Las Vegas,21,2023-11-19,
Abu Dhabi,22,2023-11-26,
